"","X","Y","nombre","diametro","altura"
"1",-89.734172,20.989268,22,12.095775674984,11.2
"2",-89.734179,20.989672,25,13.687325105903,7.9304347826087
"3",-89.734152,20.990082,27,25.783100780887,8.85894736842105
"4",-89.734202,20.990586,29,13.687325105903,8.14736842105263
"5",-89.734141,20.990963,30,23.8732414637843,8.46222222222222
"6",-89.734174,20.991001,31,22.9183118052329,9.79393939393939
"7",-89.734282,20.991487,33,12.4140855611678,7.776
"8",-89.73427,20.99186,34,19.735212943395,8.08170212765957
"9",-89.734011,20.989822,43,16.87,9.079
"10",-89.734115,20.990554,45,24.51,9.611
"11",-89.734108,20.990592,46,25.46,8.318
"12",-89.734125,20.991017,48,7.64,6.981
"13",-89.734167,20.991701,50,21.33,8.853
"14",-89.734176,20.991917,52,29.92,12.1
"15",-89.734032,20.989243,53,13.05,7.259
"16",-89.734717,20.989183,55,6.68,12.308
"17",-89.734428,20.989,83,17.5070028,7.6
"18",-89.734077,20.989148,86,29.92105933,11.875
"19",-89.733758,20.989618,88,15.59714795,10.75
"20",-89.733848,20.990183,90,21.3267125,8.8125
"21",-89.733954,20.990533,92,18.78023937,13.63636364
"22",-89.733937,20.990967,94,8.59434683,9.272727273
"23",-89.733958,20.991551,96,15.91545709,9.6
"24",-89.734042,20.991798,97,28.64782277,11.99444444
"25",-89.734702,20.98941,79,22.91825821,9.192857143
"26",-89.734538,20.989255,81,11.45912911,8.906944444
"27",-89.734413,20.989476,83,46.79144385,11.86428571
"28",-89.73431,20.989693,84,26.41965877,9.24
"29",-89.734208,20.99003,85,36.60555131,10.54428571
"30",-89.734428,20.990722,86,40.42526101,11.6875
"31",-89.734248,20.990955,87,40.74357016,8.143548387
"32",-89.73443,20.99161,88,38.19709702,12.75
"33",-89.734452,20.991969,89,24.19149478,8.616666667
"34",-89.73473333,20.98905,1,7.384772091,6.895707763
"35",-90.65086667,20.98918333,2,1.432391138,1.7
"36",-89.73396667,20.98976667,3,34.69569646,12.19858156
"37",-89.73396667,20.99011667,4,31.83091418,10.87844156
"38",-89.73405,20.99053333,5,9.071810542,7.109333333
"39",-89.734,20.99098333,6,12.41405653,11.11254902
"40",-89.73388333,20.99138333,7,18.14362108,11.29803922
"41",-89.73411667,20.99193333,8,19.79882862,7.862857143
